N,nworkers,policy,tileSize,chunkSize,time,checksum
4000,8,3,1,128,15316.2,1790845
4000,8,3,4,32,8223.56,1790845
4000,8,3,4,64,11209.6,1790845
4000,8,3,4,128,8338.52,1790845
4000,8,3,8,32,8912.14,1790845
4000,8,3,8,64,7885.39,1790845
4000,8,3,8,128,9988.43,1790845
4000,10,3,1,32,11046.1,1790845
4000,10,3,1,64,12581.6,1790845
4000,10,3,1,128,10441.2,1790845
4000,10,3,4,32,4766.39,1790845
4000,10,3,4,64,6994.09,1790845
4000,10,3,4,128,6981.18,1790845
4000,10,3,8,32,5811.77,1790845
4000,10,3,8,64,5254.26,1790845
4000,10,3,8,128,5894.73,1790845
4000,12,3,1,32,16205.3,1790845
4000,12,3,1,64,12201.7,1790845
4000,12,3,1,128,13592.2,1790845
4000,12,3,4,32,8213.32,1790845
4000,12,3,4,64,7105.79,1790845
4000,12,3,4,128,5526.92,1790845
4000,12,3,8,32,3996.93,1790845
4000,12,3,8,64,4675.03,1790845
4000,12,3,8,128,5659.48,1790845
4000,14,3,1,32,14618.7,1790845
4000,14,3,1,64,15484.5,1790845
4000,14,3,1,128,11938.4,1790845
4000,14,3,4,32,2520.49,1790845
4000,14,3,4,64,4283,1790845
4000,14,3,4,128,2412.73,1790845
4000,14,3,8,32,4034.67,1790845
4000,14,3,8,64,2101.03,1790845
4000,14,3,8,128,4123.31,1790845
4000,16,3,1,32,5605.84,1790845
4000,16,3,1,64,5797.39,1790845
4000,16,3,1,128,4247.92,1790845
4000,16,3,4,32,4048.16,1790845
4000,16,3,4,64,3763.15,1790845
4000,16,3,4,128,4382.37,1790845
4000,16,3,8,32,2105.75,1790845
4000,16,3,8,64,2188.9,1790845
4000,16,3,8,128,1915.55,1790845
4000,24,3,1,32,4266.22,1790845
4000,24,3,1,64,4638.04,1790845
4000,24,3,1,128,4228.23,1790845
4000,24,3,4,32,2774.54,1790845
4000,24,3,4,64,3427.82,1790845
4000,24,3,4,128,3102.72,1790845
4000,24,3,8,32,2445.31,1790845
4000,24,3,8,64,2653.04,1790845
4000,24,3,8,128,2513.6,1790845
4000,32,3,1,32,6850.93,1790845
4000,32,3,1,64,3609.03,1790845
4000,32,3,1,128,3409.27,1790845
4000,32,3,4,32,2314.56,1790845
4000,32,3,4,64,3909.61,1790845
4000,32,3,4,128,3701.18,1790845
4000,32,3,8,32,2004.97,1790845
4000,32,3,8,64,2497.52,1790845
4000,32,3,8,128,2226.76,1790845
6000,1,0,1,1,146995,3687649
6000,1,0,4,1,147219,3687649
6000,1,0,8,1,151364,3687649
6000,1,1,1,1,159336,3687649
6000,1,1,4,1,119019,3687649
6000,1,1,8,1,147029,3687649
6000,2,1,1,1,115044,3687649
6000,2,1,4,1,51898.4,3687649
6000,2,1,8,1,43239,3687649
6000,4,1,1,1,50189.4,3687649
6000,4,1,4,1,25267.9,3687649
6000,4,1,8,1,23603.3,3687649
6000,6,1,1,1,54533.8,3687649
6000,6,1,4,1,17678.2,3687649
6000,6,1,8,1,16543.1,3687649
6000,8,1,1,1,26730.4,3687649
6000,8,1,4,1,13006.2,3687649
6000,8,1,8,1,11841,3687649
6000,10,1,1,1,20977.5,3687649
6000,10,1,4,1,11340.7,3687649
6000,10,1,8,1,19045.2,3687649
6000,12,1,1,1,17494.7,3687649
6000,12,1,4,1,17697.1,3687649
6000,12,1,8,1,8240.83,3687649
6000,14,1,1,1,24204.5,3687649
6000,14,1,4,1,8504.36,3687649
6000,14,1,8,1,10881.1,3687649
6000,16,1,1,1,25235.8,3687649
6000,16,1,4,1,13922.2,3687649
6000,16,1,8,1,11855.5,3687649
6000,24,1,1,1,17932.9,3687649
6000,24,1,4,1,9860.43,3687649
6000,24,1,8,1,8847.29,3687649
6000,32,1,1,1,16741.5,3687649
6000,32,1,4,1,13608.4,3687649
6000,32,1,8,1,12135.1,3687649
6000,1,2,1,1,150882,3687649
6000,1,2,4,1,96869.9,3687649
6000,1,2,8,1,86623.9,3687649
6000,2,2,1,1,78082.6,3687649
6000,2,2,4,1,48698,3687649
6000,2,2,8,1,45674.1,3687649
6000,4,2,1,1,47983.5,3687649
6000,4,2,4,1,61309,3687649
6000,4,2,8,1,33191.6,3687649
6000,6,2,1,1,52256.1,3687649
6000,6,2,4,1,32266.9,3687649
6000,6,2,8,1,41892.6,3687649
6000,8,2,1,1,26146.8,3687649
6000,8,2,4,1,32578.9,3687649
6000,8,2,8,1,33907.4,3687649
6000,10,2,1,1,21869.9,3687649
6000,10,2,4,1,29786.1,3687649
6000,10,2,8,1,9936.62,3687649
6000,12,2,1,1,34347,3687649
6000,12,2,4,1,18027.9,3687649
6000,12,2,8,1,8064.19,3687649
6000,14,2,1,1,23681.7,3687649
