N,nworkers,policy,tileSize,chunkSize,time
6000,8,3,4,32,32722.6
6000,8,3,4,64,31350.8
6000,8,3,4,128,30970.1
6000,8,3,8,32,31160.8
6000,8,3,8,64,31204.5
6000,8,3,8,128,31445.2
6000,8,3,16,32,31743.9
6000,8,3,16,64,31560.6
6000,8,3,16,128,32344.2
6000,10,1,1,1,27525.2
6000,10,1,4,1,25430.5
6000,10,1,8,1,24936.2
6000,10,1,16,1,26466.4
6000,10,2,1,1,27564.7
6000,10,2,4,1,25577.2
6000,10,2,8,1,25609.6
6000,10,2,16,1,25857.4
6000,10,3,1,32,27126.7
6000,10,3,1,64,26839.3
6000,10,3,1,128,27372.3
6000,10,3,4,32,24946.6
6000,10,3,4,64,25248.6
6000,10,3,4,128,25716.1
6000,10,3,8,32,25065
6000,10,3,8,64,25533.9
6000,10,3,8,128,25275.2
6000,10,3,16,32,25664.6
6000,10,3,16,64,25996.8
6000,10,3,16,128,26221
6000,12,1,1,1,23377.5
6000,12,1,4,1,21492.9
6000,12,1,8,1,20942.6
6000,12,1,16,1,21558.6
6000,12,2,1,1,22369.4
6000,12,2,4,1,21759.1
6000,12,2,8,1,21048.7
6000,12,2,16,1,22342.5
6000,12,3,1,32,23371.1
6000,12,3,1,64,23194.9
6000,12,3,1,128,22797.9
6000,12,3,4,32,21095.4
6000,12,3,4,64,20989.1
6000,12,3,4,128,21867.7
6000,12,3,8,32,21182
6000,12,3,8,64,21396.9
6000,12,3,8,128,21521.8
6000,12,3,16,32,21872.7
6000,12,3,16,64,21536.8
6000,12,3,16,128,22622.5
6000,14,1,1,1,20464.7
6000,14,1,4,1,18528.6
6000,14,1,8,1,18356.2
6000,14,1,16,1,18753.1
6000,14,2,1,1,20785
6000,14,2,4,1,19784.6
6000,14,2,8,1,18374.1
6000,14,2,16,1,19014.8
6000,14,3,1,32,20543.3
6000,14,3,1,64,20940.3
6000,14,3,1,128,20902.2
6000,14,3,4,32,18499.5
6000,14,3,4,64,18474.8
6000,14,3,4,128,18961.4
6000,14,3,8,32,18397.2
6000,14,3,8,64,18849.3
6000,14,3,8,128,18638.6
6000,14,3,16,32,19189.9
6000,14,3,16,64,18885.9
6000,14,3,16,128,18931.7
6000,16,1,1,1,18221.6
6000,16,1,4,1,16219.8
6000,16,1,8,1,16163.6
6000,16,1,16,1,17351.9
6000,16,2,1,1,18215.3
6000,16,2,4,1,16975.3
6000,16,2,8,1,16340.8
6000,16,2,16,1,16696.6
6000,16,3,1,32,18518.6
6000,16,3,1,64,18095.1
6000,16,3,1,128,19260
6000,16,3,4,32,16327.8
6000,16,3,4,64,17741.8
6000,16,3,4,128,16139.3
6000,16,3,8,32,17111.3
6000,16,3,8,64,16160.7
6000,16,3,8,128,17054.6
6000,16,3,16,32,16559.4
6000,16,3,16,64,16729.7
6000,16,3,16,128,16808.1
8000,1,0,1,1,614310
8000,2,1,1,1,317495
8000,2,1,4,1,310353
8000,2,1,8,1,309445
8000,2,1,16,1,316983
8000,2,2,1,1,316500
8000,2,2,4,1,309511
8000,2,2,8,1,309662
8000,2,2,16,1,309670
8000,2,3,1,32,318970
8000,2,3,1,64,319078
8000,2,3,1,128,346112
8000,2,3,4,32,311959
8000,2,3,4,64,313654
8000,2,3,4,128,360781
8000,2,3,8,32,324273
8000,2,3,8,64,313450
8000,2,3,8,128,310220
8000,2,3,16,32,310825
8000,2,3,16,64,312035
8000,2,3,16,128,310727
8000,4,1,1,1,166318
8000,4,1,4,1,158396
8000,4,1,8,1,157847
8000,4,1,16,1,160858
8000,4,2,1,1,167350
8000,4,2,4,1,178658
8000,4,2,8,1,154827
8000,4,2,16,1,159855
8000,4,3,1,32,176875
8000,4,3,1,64,165373
8000,4,3,1,128,164894
8000,4,3,4,32,157133
8000,4,3,4,64,162466
8000,4,3,4,128,156012
8000,4,3,8,32,156531
1000,1,1,1,1,297.011
1000,1,1,4,1,285.486
1000,1,1,8,1,283.699
1000,1,1,16,1,283.132
1000,1,2,1,1,293.727
1000,1,2,4,1,284.592
1000,1,2,8,1,284.767
1000,1,2,16,1,283.501
1000,1,3,1,32,294.113
1000,1,3,1,64,293.844
1000,1,3,1,128,293.173
1000,1,3,4,32,285.499
1000,1,3,4,64,284.882
1000,1,3,4,128,285.521
1000,1,3,8,32,283.274
1000,1,3,8,64,283.52
1000,1,3,8,128,283.508
1000,1,3,16,32,283.532
1000,1,3,16,64,283.057
1000,1,3,16,128,287.558
2000,1,1,1,1,3094.65
2000,1,1,4,1,2520.45
2000,1,1,8,1,2277.03
2000,1,1,16,1,2228.87
2000,1,2,1,1,2717.58
2000,1,2,4,1,2397.53
2000,1,2,8,1,2293.76
2000,1,2,16,1,2244.17
2000,1,3,1,32,2722.63
2000,1,3,1,64,2718.74
2000,1,3,1,128,2718.04
2000,1,3,4,32,2353.9
2000,1,3,4,64,2390.15
2000,1,3,4,128,2376.12
2000,1,3,8,32,2302.13
2000,1,3,8,64,2299.84
